name,target_score,avoid_score,total_score,military_score,american_wars_score,geopolitics_score,early_america_score,science_tech_score,political_thought_score,economic_score,decolonization_score,critical_theory_score,social_issues_score,economic_systems_score,cultural_studies_score,environmental_score,migration_score
Mark Thomas,0.6248102302313111,-0.6020564481092268,0.022753782122084343,0.5454509139034093,0.49234821226165454,0.654905888852725,0.5368210018021755,0.614200768807493,0.48354272609131105,0.86778864064044,-0.6261677854050078,-0.6577788206133355,-0.5227207403883812,-0.5582738186592938,-0.6418980097539239,-0.5912682965259528,-0.5935770935267325
Elizabeth R. Varon,0.8033068114703523,-0.7774582905856673,0.025848520884685033,0.8433301406543117,0.7851107532440333,0.7119674440400969,0.9416066799473899,0.6785839529427752,0.9235370485886588,0.6258473563381878,-0.7099844630463715,-0.7701208059884983,-0.9207694307515819,-0.6735107287780253,-0.9250838963319739,-0.6439473507372807,-0.6922545870133829
Penny Von Eschen,0.7802086889929417,-0.8067317343214123,-0.026523045328470607,0.7984550877489253,0.768022153500021,0.9483128634623154,0.7913311824571796,0.7952993940879471,0.6705133494151918,0.59086697271531,-0.7749444088438382,-0.8622860050709875,-0.9289341607140518,-0.6358499527334742,-0.9504321947570338,-0.6583430170282325,-0.7126942669815488
Joshua M. White,0.7793275777277854,-0.6847029317575433,0.09462464597024212,0.7407213891857936,0.6676027700472258,0.9270921231318444,0.7734867694242581,0.713764186338286,0.929288965069571,0.5628338473007167,-0.6505981411061437,-0.6916705681494092,-0.6792101754809813,-0.6899709518580585,-0.7554074820946901,-0.6034880063434539,-0.7032824464832573
Cong Ellen Zhang,0.7524087059573354,-0.7049143672598104,0.04749433869752506,0.7972849566736165,0.6270501498716146,0.8294607880075475,0.6776016570086276,0.7162412138654392,0.9266888799145026,0.5647129889734417,-0.6917489106162349,-0.7001753272649387,-0.6452891165750394,-0.7301713398782954,-0.7959796088200792,-0.6288161528130813,-0.7158450402714491
Corinne T. Field,0.7447596145504147,-0.8260894873422207,-0.08132987279180592,0.8070680026698868,0.6706438567073268,0.7611033858415354,0.9098594543074429,0.7434080509336161,0.6000940455589608,0.6238666901307803,-0.7914804104385035,-0.9473037260509164,-0.939622235788091,-0.7029118432442821,-0.9355106302583228,-0.6424988959552664,-0.6935245228320526
Risa Goluboff,0.6554825318237342,-0.614013696071461,0.041468835752273225,0.6358504878789824,0.587998916442499,0.5955855270562798,0.582625784735176,0.5633715695340621,0.9387818752693946,0.4814816051751641,-0.6260190613437189,-0.6359149234692656,-0.5827733222422298,-0.6765612595987681,-0.6387320494510562,-0.5188922973235922,-0.5938316283195139
Mar Hicks,0.7898163331521886,-0.7660283483996433,0.023787984752545288,0.687920337679047,0.8339083262188516,0.6772298776666592,0.7242271484740127,0.931891351741508,0.6314611724243905,0.9246488026433779,-0.6729983355369764,-0.8613966786133895,-0.9325369059540705,-0.6904244530255959,-0.7601132382470167,-0.6444113860208048,-0.710046054014224
Janet R. Horne,0.7319938758615417,-0.7898898641890088,-0.05789598832746701,0.8034414316717943,0.6356043654251392,0.8242556760018073,0.7819524308908717,0.7138062235478763,0.7058616363631351,0.5986578594760313,-0.9313858867383316,-0.727405431816311,-0.7775158727203864,-0.7513803029643054,-0.9399583798102996,-0.6471934367060436,-0.6388628476464264
Jane  Kamensky,0.7357845437530017,-0.727864156293839,0.007920387459162681,0.7411592982925141,0.793867598049589,0.6748746416848216,0.9388239960165163,0.6664848975112995,0.6233328658865431,0.5959737316077578,-0.6529494973245895,-0.6769854988386566,-0.9192245845265654,-0.6151827904720044,-0.7607224171821942,-0.7243861938241889,-0.6584587475501625
Louis Nelson,0.7236762694581377,-0.740170597163016,-0.016494327704878353,0.6766368530079488,0.6990790935406461,0.7141426497266984,0.9320749071399119,0.6774951033465435,0.6540028500785249,0.6252202948121922,-0.7957357263290815,-0.6731272031677493,-0.7239192131835919,-0.638837228611694,-0.7591244391193013,-0.8366233217783875,-0.7154749278840925
Cynthia Nicoletti,0.6815453192640281,-0.658681923314959,0.022863395949069054,0.7438314359010318,0.6727424149127456,0.6648173389174645,0.7832767935358872,0.6525023986838325,0.6511816670975464,0.5549634589204739,-0.6928355577214386,-0.6605483148243113,-0.689697962177229,-0.6126396313748483,-0.6562581395039909,-0.592207724670412,-0.6917531174464201
Tom Noble,0.521300424876094,-0.5694719659409295,-0.048171541064835566,0.5400763731591739,0.473912144498244,0.5612225705398342,0.5068185066625229,0.5568686201149455,0.4914159532689084,0.5057407222961103,-0.5527736763264091,-0.5899925066015699,-0.6031152757521443,-0.620922989905577,-0.4536645915883462,-0.6071242727055626,-0.5206133829818453
Andrew O'Shaughnessy,0.9446566589304409,-0.8878417830802263,0.05681487585021461,0.9472401391806765,0.9497791546753085,0.9438638271473743,0.9641923841210531,0.9170856708532057,0.9456389493089358,0.943549963937423,-0.9494723482913165,-0.8058085109424382,-0.9332699589838797,-0.9401295678022178,-0.9458372756625856,-0.8724032835229037,-0.7117129825821948
Jeffrey K. Olick,0.6045426363955388,-0.6975920689898891,-0.09304943259435028,0.6093318676941468,0.5529352648725389,0.6539295258644382,0.6119488964221733,0.6128483869267194,0.6612970620247762,0.49601278404972204,-0.6137722067915321,-0.7469645329010497,-0.7424691510154939,-0.6282663589351062,-0.8641316004094284,-0.5528670977010406,-0.6361325297399925
Holly Shulman,0.521300424876094,-0.5694719659409295,-0.048171541064835566,0.5400763731591739,0.473912144498244,0.5612225705398342,0.5068185066625229,0.5568686201149455,0.4914159532689084,0.5057407222961103,-0.5527736763264091,-0.5899925066015699,-0.6031152757521443,-0.620922989905577,-0.4536645915883462,-0.6071242727055626,-0.5206133829818453
Robert Trent Vinson,0.6760502723537565,-0.7677088771163317,-0.09165860476257526,0.6598266799211479,0.6412227660341177,0.728804943698954,0.7704480809283958,0.6992384681269099,0.566939892928563,0.6239734083395986,-0.7229376177299088,-0.7215429497544011,-0.6558672232665903,-0.591491630662428,-0.9382719358339298,-0.6424107985021923,-0.9415858845711071
Kirt von Daacke,0.6664468612443853,-0.7362351323895706,-0.06978827114518527,0.6808074866914635,0.6100181387985729,0.6685046458697694,0.780258990931615,0.6778050086236354,0.5811425889247155,0.6288250850000101,-0.635133376078768,-0.7432134833889978,-0.936787741492332,-0.6423796146989238,-0.793243269316606,-0.628878722954392,-0.6668577946749457
Chad Wellmon,0.6706682546453705,-0.756709972905355,-0.08604171825998452,0.6954289213392177,0.6123731871295038,0.6959740648226037,0.7024764082554673,0.6865120004967236,0.6268026043174286,0.6633425824534425,-0.7927227498118654,-0.7570992563260652,-0.7265240134074612,-0.626898697768097,-0.941470766226165,-0.6481384086306237,-0.7160552693441627
G. Edward White,0.7450650097252437,-0.7058453664802137,0.03921964324503002,0.775623766559639,0.664417168085849,0.6696367070612518,0.8157745614049812,0.6557311305248651,0.9428351132059027,0.5558439722098343,-0.6155270550267985,-0.7105927512054244,-0.6055172216796363,-0.6160356115948754,-0.9287985668026069,-0.6622438058050509,-0.6915183193126235
Cecile Zinberg,0.586219720314148,-0.5825403744687719,0.003679345845376103,0.5544247858765555,0.5319352921161702,0.5623894936693783,0.7853581300139673,0.5603476801735918,0.5027537047757455,0.5073157873849763,-0.495111726743502,-0.5916432487340384,-0.5845405743702297,-0.5741720565941892,-0.7574688324060929,-0.44566575918358164,-0.5255195147493776
